Aurora,Aurora_laser,NorthernLights,NorthernLights_laser,ID7000,ID7000_laser,Discover,Discover_laser,Opteon,Opteon_laser,Mosaic,Mosaic_laser,Xenith,Xenith_description,Xenith_laser,A5SE,A5SE_laser
,,,,355CH33-A,UV,YG10 (780)-A,YellowGreen,R757-A,Red,Y12-A,YellowGreen,,,,,
,,,,355CH34-A,UV,YG11 (810)-A,YellowGreen,R784-A,Red,R1-A,Red,,,,,
,,,,355CH35-A,UV,YG12 (845)-A,YellowGreen,R815-A,Red,R2-A,Red,,,,,
,,,,405CH1-A,Violet,R1 (655)-A,Red,,,R3-A,Red,,,,,
,,,,405CH2-A,Violet,R2 (675)-A,Red,,,R4-A,Red,,,,,
,,,,405CH3-A,Violet,R3 (700)-A,Red,,,R5-A,Red,,,,,
,,,,405CH4-A,Violet,R4 (725)-A,Red,,,R6-A,Red,,,,,
,,,,405CH5-A,Violet,R5 (750)-A,Red,,,R7-A,Red,,,,,
,,,,405CH6-A,Violet,R6 (780)-A,Red,,,R8-A,Red,,,,,
,,,,405CH7-A,Violet,R7 (810)-A,Red,,,R9-A,Red,,,,,
,,,,405CH8-A,Violet,R8 (845)-A,Red,,,R10-A,Red,,,,,
,,,,405CH9-A,Violet,,,,,IR1-A,IR,,,,,
,,,,405CH10-A,Violet,,,,,IR2-A,IR,,,,,
,,,,405CH11-A,Violet,,,,,IR3-A,IR,,,,,
,,,,405CH12-A,Violet,,,,,,,,,,,
,,,,405CH13-A,Violet,,,,,,,,,,,
,,,,405CH14-A,Violet,,,,,,,,,,,
,,,,405CH15-A,Violet,,,,,,,,,,,
,,,,405CH16-A,Violet,,,,,,,,,,,
,,,,405CH17-A,Violet,,,,,,,,,,,
,,,,405CH18-A,Violet,,,,,,,,,,,
,,,,405CH19-A,Violet,,,,,,,,,,,
,,,,405CH20-A,Violet,,,,,,,,,,,
,,,,405CH21-A,Violet,,,,,,,,,,,
,,,,405CH22-A,Violet,,,,,,,,,,,
,,,,405CH23-A,Violet,,,,,,,,,,,
,,,,405CH24-A,Violet,,,,,,,,,,,
,,,,405CH25-A,Violet,,,,,,,,,,,
,,,,405CH26-A,Violet,,,,,,,,,,,
,,,,405CH27-A,Violet,,,,,,,,,,,
,,,,405CH28-A,Violet,,,,,,,,,,,
,,,,405CH29-A,Violet,,,,,,,,,,,
,,,,405CH30-A,Violet,,,,,,,,,,,
,,,,405CH31-A,Violet,,,,,,,,,,,
,,,,405CH32-A,Violet,,,,,,,,,,,
,,,,405CH33-A,Violet,,,,,,,,,,,
,,,,405CH34-A,Violet,,,,,,,,,,,
,,,,405CH35-A,Violet,,,,,,,,,,,
,,,,488CH4-A,Blue,,,,,,,,,,,
,,,,488CH5-A,Blue,,,,,,,,,,,
,,,,488CH6-A,Blue,,,,,,,,,,,
,,,,488CH7-A,Blue,,,,,,,,,,,
,,,,488CH8-A,Blue,,,,,,,,,,,
,,,,488CH9-A,Blue,,,,,,,,,,,
,,,,488CH10-A,Blue,,,,,,,,,,,
,,,,488CH11-A,Blue,,,,,,,,,,,
,,,,488CH12-A,Blue,,,,,,,,,,,
,,,,488CH13-A,Blue,,,,,,,,,,,
,,,,488CH14-A,Blue,,,,,,,,,,,
,,,,488CH15-A,Blue,,,,,,,,,,,
,,,,488CH16-A,Blue,,,,,,,,,,,
,,,,488CH17-A,Blue,,,,,,,,,,,
,,,,488CH18-A,Blue,,,,,,,,,,,
,,,,488CH19-A,Blue,,,,,,,,,,,
,,,,488CH20-A,Blue,,,,,,,,,,,
,,,,488CH21-A,Blue,,,,,,,,,,,
,,,,488CH22-A,Blue,,,,,,,,,,,
,,,,488CH23-A,Blue,,,,,,,,,,,
,,,,488CH24-A,Blue,,,,,,,,,,,
,,,,488CH25-A,Blue,,,,,,,,,,,
,,,,488CH26-A,Blue,,,,,,,,,,,
,,,,488CH27-A,Blue,,,,,,,,,,,
,,,,488CH28-A,Blue,,,,,,,,,,,
,,,,488CH29-A,Blue,,,,,,,,,,,
,,,,488CH30-A,Blue,,,,,,,,,,,
,,,,488CH31-A,Blue,,,,,,,,,,,
,,,,488CH32-A,Blue,,,,,,,,,,,
,,,,488CH33-A,Blue,,,,,,,,,,,
,,,,488CH34-A,Blue,,,,,,,,,,,
,,,,488CH35-A,Blue,,,,,,,,,,,
,,,,561CH10-A,YellowGreen,,,,,,,,,,,
,,,,561CH11-A,YellowGreen,,,,,,,,,,,
,,,,561CH12-A,YellowGreen,,,,,,,,,,,
,,,,561CH13-A,YellowGreen,,,,,,,,,,,
,,,,561CH14-A,YellowGreen,,,,,,,,,,,
,,,,561CH15-A,YellowGreen,,,,,,,,,,,
,,,,561CH16-A,YellowGreen,,,,,,,,,,,
,,,,561CH17-A,YellowGreen,,,,,,,,,,,
,,,,561CH18-A,YellowGreen,,,,,,,,,,,
,,,,561CH19-A,YellowGreen,,,,,,,,,,,
,,,,561CH20-A,YellowGreen,,,,,,,,,,,
,,,,561CH21-A,YellowGreen,,,,,,,,,,,
,,,,561CH22-A,YellowGreen,,,,,,,,,,,
,,,,561CH23-A,YellowGreen,,,,,,,,,,,
,,,,561CH24-A,YellowGreen,,,,,,,,,,,
,,,,561CH25-A,YellowGreen,,,,,,,,,,,
,,,,561CH26-A,YellowGreen,,,,,,,,,,,
,,,,561CH27-A,YellowGreen,,,,,,,,,,,
,,,,561CH28-A,YellowGreen,,,,,,,,,,,
,,,,561CH29-A,YellowGreen,,,,,,,,,,,
,,,,561CH30-A,YellowGreen,,,,,,,,,,,
,,,,561CH31-A,YellowGreen,,,,,,,,,,,
,,,,561CH32-A,YellowGreen,,,,,,,,,,,
,,,,561CH33-A,YellowGreen,,,,,,,,,,,
,,,,561CH34-A,YellowGreen,,,,,,,,,,,
,,,,561CH35-A,YellowGreen,,,,,,,,,,,
