fluorophore,synonym1,synonym2,synonym3,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,excitation.laser,nominal.wavelength,is.viability
SBB810,StarBright Blue 810,StarBright B810,Star Bright Blue 810,B14-A,B14-A,488CH31-A,B15 (810)-A,B815-A,B14-A,FL40-A,B810-A,Blue,810,
SBR670,StarBright Red 670,StarBright R670,Star Bright Red 670,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,Red,670,
SBR715,StarBright Red 715,StarBright R715,Star Bright Red 715,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,Red,715,
SBR775,StarBright Red 775,StarBright R775,Star Bright Red 775,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R730-A,Red,775,
SBR815,StarBright Red 815,StarBright R815,Star Bright Red 815,R8-A,R8-A,637CH31-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,Red,815,
SBUV400,StarBright UltraViolet 400,StarBright UV400,Star Bright UV400,UV2-A,V1-A,355CH2-A,UV2 (390)-A,UV380-A,U2-A,FL07-A,UV379-A,UV,400,
SBUV445,StarBright UltraViolet 445,StarBright UV445,Star Bright UV445,UV6-A,V3-A,355CH4-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV,445,
SBUV510,StarBright UltraViolet 510,StarBright UV510,Star Bright UV510,UV7-A,V6-A,355CH6-A,UV8 (515)-A,UV508-A,U7-A,FL06-A,UV515-A,UV,510,
SBUV540,StarBright UltraViolet 540,StarBright UV540,Star Bright UV540,UV8-A,V7-A,355CH8-A,UV10 (545)-A,UV543-A,U8-A,FL05-A,UV540-A,UV,540,
SBUV575,StarBright UltraViolet 575,StarBright UV575,Star Bright UV575,UV9-A,V8-A,355CH11-A,UV11 (575)-A,UV582-A,U9-A,FL04-A,UV585-A,UV,575,
SBUV605,StarBright UltraViolet 605,StarBright UV605,Star Bright UV605,UV10-A,V10-A,355CH13-A,UV13 (605)-A,UV600-A,U10-A,FL03-A,UV610-A,UV,605,
SBUV665,StarBright UltraViolet 665,StarBright UV665,Star Bright UV665,UV11-A,V11-A,355CH19-A,UV15 (655)-A,UV661-A,U11-A,FL00-A,UV660-A,UV,665,
SBUV700,StarBright UltraViolet 700,StarBright UV700,Star Bright UV700,UV13-A,V12-A,355CH23-A,UV17 (700)-A,UV700-A,U13-A,FL01-A,UV695-A,UV,700,
SBUV740,StarBright UltraViolet 740,StarBright UV740,Star Bright UV740,UV14-A,V14-A,355CH25-A,UV19 (750)-A,UV735-A,U15-A,FL01-A,UV736-A,UV,740,
SBUV770,StarBright UltraViolet 770,StarBright UV770,Star Bright UV770,UV15-A,V15-A,355CH27-A,UV20 (780)-A,UV757-A,U16-A,FL02-A,UV809-A,UV,770,
SBUV795,StarBright UltraViolet 795,StarBright UV795,Star Bright UV795,UV16-A,B14-A,355CH29-A,UV20 (780)-A,UV784-A,U16-A,FL02-A,UV809-A,UV,795,
SBV440,StarBright Violet 440,StarBright V440,Star Bright Violet 440,V2-A,V2-A,405CH3-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,Violet,440,
SBV475,StarBright Violet 475,StarBright V475,Star Bright Violet 475,V4-A,V4-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,Violet,475,
SBV515,StarBright Violet 515,StarBright V515,Star Bright Violet 515,V5-A,V5-A,405CH5-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,Violet,515,
SBV535,StarBright Violet 535,StarBright V535,Star Bright Violet 535,V7-A,V7-A,405CH5-A,V7 (530)-A,V525-A,V6-A,FL14-A,V540-A,Violet,535,
SBV570,StarBright Violet 570,StarBright V570,Star Bright Violet 570,V8-A,V8-A,405CH11-A,V9 (575)-A,V582-A,V8-A,FL12-A,V576-A,Violet,570,
SBV610,StarBright Violet 610,StarBright V610,Star Bright Violet 610,V10-A,V10-A,405CH13-A,V11 (605)-A,V618-A,V9-A,FL23-A,V615-A,Violet,610,
SBV670,StarBright Violet 670,StarBright V670,Star Bright Violet 670,V11-A,V11-A,405CH18-A,V14 (675)-A,V661-A,V12-A,FL22-A,V660-A,Violet,670,
SBV710,StarBright Violet 710,StarBright V710,Star Bright Violet 710,V13-A,V13-A,405CH23-A,V15 (700)-A,V717-A,V13-A,FL21-A,V710-A,Violet,710,
